	ClusterID	Centroid	Sample_n	Seq_n	Samples	Sequences
2623	Cluster_13077	Unassigned_SRR5275903_359158	7	10	SRR5275903,SRR5275906,SRR5275908,SRR5275902,SRR5275907,SRR5275925,SRR5275904	SRR5275903_359158,SRR5275906_604759,SRR5275908_300025,SRR5275902_292265,SRR5275907_301588,SRR5275925_15345,SRR5275904_118208,SRR5275907_93529,SRR5275903_361894,SRR5275908_10494
2624	Cluster_13081	Unassigned_SRR5275906_561735	9	12	SRR5275906,SRR5275919,SRR5275900,SRR5275908,SRR11601791,SRR5275907,SRR5275904,SRR5275903,SRR5275902	SRR5275906_561735,SRR5275919_216003,SRR5275900_441942,SRR5275908_396007,SRR5275900_238620,SRR5275919_51933,SRR11601791_334487,SRR5275907_389906,SRR5275904_493371,SRR5275903_499116,SRR5275902_555640,SRR5275919_58426
2625	Cluster_13098	Unassigned_SRR5275902_222410	9	13	SRR5275902,SRR5275919,SRR5275903,SRR5275906,SRR5275904,SRR5275925,SRR5275907,SRR5275908,SRR5275927	SRR5275902_222410,SRR5275919_161092,SRR5275903_232433,SRR5275919_407571,SRR5275906_393717,SRR5275904_98074,SRR5275925_511955,SRR5275907_284804,SRR5275906_107217,SRR5275908_222062,SRR5275907_326502,SRR5275908_285110,SRR5275927_689360
2626	Cluster_13104	Unassigned_SRR5275908_330952	9	15	SRR5275908,SRR5275925,SRR5275904,SRR5275897,SRR5275906,SRR5275902,SRR5275907,SRR5275919,SRR5275903	SRR5275908_330952,SRR5275925_686576,SRR5275904_468378,SRR5275897_456328,SRR5275906_35704,SRR5275902_453939,SRR5275906_457284,SRR5275907_607930,SRR5275908_116382,SRR5275919_370398,SRR5275904_46980,SRR5275907_47352,SRR5275903_257487,SRR5275919_313414,SRR5275903_403905
2627	Cluster_13109	Unassigned_SRR5275903_268021	10	29	SRR5275903,SRR5275919,SRR5275900,SRR5275906,SRR5275925,SRR5275908,SRR5275907,SRR5275902,SRR5275927,SRR5275897	SRR5275903_268021,SRR5275919_577673,SRR5275900_251985,SRR5275906_523439,SRR5275919_56897,SRR5275900_152672,SRR5275925_397495,SRR5275908_389051,SRR5275903_438787,SRR5275919_84916,SRR5275907_199306,SRR5275919_62957,SRR5275902_493091,SRR5275925_448074,SRR5275907_349583,SRR5275927_109560,SRR5275908_537580,SRR5275906_561719,SRR5275907_602279,SRR5275902_371675,SRR5275903_503663,SRR5275897_349301,SRR5275900_762,SRR5275906_430876,SRR5275906_443086,SRR5275897_362241,SRR5275902_241961,SRR5275925_221114,SRR5275902_330154
2628	Cluster_13113	Unassigned_SRR5275927_581033	8	12	SRR5275927,SRR5275906,SRR5275919,SRR5275897,SRR5275907,SRR5275903,SRR5275908,SRR5275902	SRR5275927_581033,SRR5275906_289970,SRR5275919_197041,SRR5275897_98243,SRR5275907_415632,SRR5275903_295692,SRR5275908_65104,SRR5275919_163662,SRR5275906_164332,SRR5275902_226209,SRR5275907_453886,SRR5275903_252586
2629	Cluster_13124	Unassigned_SRR5275919_451870	7	10	SRR5275919,SRR5275902,SRR5275908,SRR5275903,SRR5275900,SRR5275907,SRR5275904	SRR5275919_451870,SRR5275902_198117,SRR5275902_52277,SRR5275902_403911,SRR5275908_400053,SRR5275903_187119,SRR5275900_361913,SRR5275908_127486,SRR5275907_335554,SRR5275904_449688
2630	Cluster_13128	Unassigned_SRR5275925_297465	9	19	SRR5275925,SRR5275907,SRR5275919,SRR5275908,SRR5275900,SRR5275904,SRR5275902,SRR5275906,SRR5275897	SRR5275925_297465,SRR5275907_386989,SRR5275919_43328,SRR5275919_555773,SRR5275908_145555,SRR5275925_460243,SRR5275900_448852,SRR5275904_220942,SRR5275900_440263,SRR5275902_75687,SRR5275908_50197,SRR5275906_444315,SRR5275925_310965,SRR5275907_428881,SRR5275907_591081,SRR5275897_24040,SRR5275904_76683,SRR5275897_183332,SRR5275906_106572
2631	Cluster_13135	Unassigned_SRR5275900_4412	11	28	SRR5275900,SRR5275925,SRR5275903,SRR5275908,SRR5275904,SRR5275902,SRR5275927,SRR5275897,SRR5275906,SRR11602038,SRR5275907	SRR5275900_4412,SRR5275925_573304,SRR5275903_347052,SRR5275908_496209,SRR5275904_100231,SRR5275925_472177,SRR5275902_545445,SRR5275927_218086,SRR5275902_326830,SRR5275904_428660,SRR5275903_19103,SRR5275908_38583,SRR5275902_344478,SRR5275897_117274,SRR5275906_138901,SRR5275903_13712,SRR5275906_235639,SRR5275902_349283,SRR5275902_331848,SRR5275897_406862,SRR5275900_163191,SRR5275902_78843,SRR5275897_469229,SRR11602038_227697,SRR5275897_33751,SRR5275907_151797,SRR5275907_94657,SRR5275908_43152
2632	Cluster_13136	Unassigned_SRR5275904_279070	8	12	SRR5275904,SRR5275925,SRR5275919,SRR5275907,SRR5275897,SRR5275903,SRR5275902,SRR5275908	SRR5275904_279070,SRR5275925_210582,SRR5275919_415195,SRR5275907_444362,SRR5275897_28330,SRR5275903_512783,SRR5275907_347268,SRR5275903_341226,SRR5275904_435423,SRR5275902_247617,SRR5275919_470044,SRR5275908_542089
2633	Cluster_13139	Unassigned_SRR5275902_112732	7	14	SRR5275902,SRR5275897,SRR5275919,SRR5275903,SRR5275907,SRR5275906,SRR5275904	SRR5275902_112732,SRR5275897_443368,SRR5275902_522514,SRR5275919_443292,SRR5275903_165324,SRR5275897_271536,SRR5275907_206609,SRR5275919_540310,SRR5275903_30306,SRR5275906_401248,SRR5275904_391483,SRR5275904_412793,SRR5275907_74639,SRR5275906_24138
2634	Cluster_13153	Unassigned_SRR5275900_22228	9	14	SRR5275900,SRR5275908,SRR5275907,SRR5275903,SRR5275902,SRR5275919,SRR5275925,SRR5275897,SRR5275906	SRR5275900_22228,SRR5275908_370144,SRR5275907_305680,SRR5275903_334539,SRR5275908_296050,SRR5275902_20116,SRR5275919_597663,SRR5275903_89662,SRR5275907_535670,SRR5275908_202489,SRR5275925_500536,SRR5275897_167351,SRR5275906_610199,SRR5275908_176531
2635	Cluster_13156	Unassigned_SRR5275919_442801	6	10	SRR5275919,SRR5275900,SRR5275907,SRR5275908,SRR5275903,SRR5275902	SRR5275919_442801,SRR5275919_354273,SRR5275900_136165,SRR5275907_517035,SRR5275907_596368,SRR5275900_104795,SRR5275908_213174,SRR5275903_357318,SRR5275908_442876,SRR5275902_364998
2636	Cluster_13157	Unassigned_SRR5275907_351442	10	10	SRR5275907,SRR5275903,SRR5275906,SRR5275904,SRR5275919,SRR5275902,SRR5275908,SRR5275925,SRR5275927,SRR5275900	SRR5275907_351442,SRR5275903_497368,SRR5275906_216588,SRR5275904_27528,SRR5275919_150965,SRR5275902_131578,SRR5275908_58300,SRR5275925_170274,SRR5275927_493547,SRR5275900_606371
2637	Cluster_13158	Unassigned_SRR5275902_251706	10	26	SRR5275902,SRR5275904,SRR5275906,SRR5275907,SRR5275919,SRR5275897,SRR5275908,SRR5275925,SRR5275903,SRR5275927	SRR5275902_251706,SRR5275904_481438,SRR5275906_38144,SRR5275907_142066,SRR5275919_99013,SRR5275897_153570,SRR5275907_197870,SRR5275897_119697,SRR5275904_80000,SRR5275908_433166,SRR5275902_469944,SRR5275908_331046,SRR5275925_303342,SRR5275919_585168,SRR5275903_48629,SRR5275927_175382,SRR5275906_160676,SRR5275925_52267,SRR5275897_192203,SRR5275897_419081,SRR5275904_228357,SRR5275919_476042,SRR5275927_142342,SRR5275903_452539,SRR5275908_508808,SRR5275908_226581
2638	Cluster_13165	Unassigned_SRR5275902_72884	10	10	SRR5275902,SRR5275900,SRR5275907,SRR5275906,SRR5275903,SRR5275925,SRR5275919,SRR5275908,SRR5275904,SRR5275927	SRR5275902_72884,SRR5275900_243823,SRR5275907_576466,SRR5275906_602388,SRR5275903_481378,SRR5275925_178524,SRR5275919_149117,SRR5275908_255017,SRR5275904_219303,SRR5275927_110964
2639	Cluster_13175	Unassigned_SRR5275903_481483	8	12	SRR5275903,SRR5275925,SRR5275900,SRR5275906,SRR5275904,SRR5275907,SRR5275902,SRR5275908	SRR5275903_481483,SRR5275925_477905,SRR5275900_209862,SRR5275906_501272,SRR5275904_204636,SRR5275907_161056,SRR5275902_17901,SRR5275904_28060,SRR5275900_482333,SRR5275907_545433,SRR5275902_522716,SRR5275908_411367
2640	Cluster_13176	Unassigned_SRR5275904_204568	8	14	SRR5275904,SRR5275903,SRR5275902,SRR5275919,SRR5275900,SRR5275906,SRR5275908,SRR5275907	SRR5275904_204568,SRR5275903_394315,SRR5275902_224901,SRR5275919_87069,SRR5275900_431161,SRR5275906_240239,SRR5275903_430303,SRR5275906_212542,SRR5275902_219715,SRR5275908_428537,SRR5275900_316716,SRR5275907_599111,SRR5275908_67804,SRR5275907_249635
2641	Cluster_13180	Unassigned_SRR5275902_91113	8	15	SRR5275902,SRR5275897,SRR5275919,SRR5275908,SRR5275907,SRR5275904,SRR5275925,SRR5275903	SRR5275902_91113,SRR5275897_379606,SRR5275919_29700,SRR5275908_124116,SRR5275907_12591,SRR5275897_421966,SRR5275902_559449,SRR5275907_377964,SRR5275904_319941,SRR5275908_218482,SRR5275919_297063,SRR5275904_218766,SRR5275925_447541,SRR5275902_217517,SRR5275903_9465
2642	Cluster_13187	Unassigned_SRR5275906_72123	6	11	SRR5275906,SRR5275904,SRR5275902,SRR5275900,SRR5275908,SRR5275907	SRR5275906_72123,SRR5275904_183088,SRR5275904_518950,SRR5275906_68834,SRR5275902_89891,SRR5275902_186942,SRR5275900_585340,SRR5275908_279440,SRR5275900_201664,SRR5275908_512564,SRR5275907_268564
2643	Cluster_13189	Unassigned_SRR5275903_39721	8	10	SRR5275903,SRR5275907,SRR5275919,SRR5275906,SRR5275897,SRR5275925,SRR5275900,SRR5275904	SRR5275903_39721,SRR5275907_409561,SRR5275919_100646,SRR5275906_490835,SRR5275897_125606,SRR5275925_301255,SRR5275900_111241,SRR5275906_54255,SRR5275919_155725,SRR5275904_387567
2644	Cluster_13200	Unassigned_SRR5275907_35031	6	12	SRR5275907,SRR5275906,SRR5275919,SRR5275900,SRR5275904,SRR5275903	SRR5275907_35031,SRR5275906_236426,SRR5275907_84605,SRR5275906_85710,SRR5275919_541331,SRR5275900_583240,SRR5275904_203629,SRR5275903_199252,SRR5275903_408066,SRR5275904_472777,SRR5275919_246547,SRR5275900_274833
2645	Cluster_13209	Unassigned_SRR5275903_62072	5	10	SRR5275903,SRR5275900,SRR5275906,SRR5275908,SRR5275904	SRR5275903_62072,SRR5275900_308611,SRR5275900_159170,SRR5275906_60048,SRR5275908_451328,SRR5275904_129492,SRR5275906_287074,SRR5275903_377247,SRR5275908_23420,SRR5275904_483890
2646	Cluster_13211	Unassigned_SRR5275919_386463	7	13	SRR5275919,SRR5275900,SRR5275902,SRR5275908,SRR5275906,SRR5275907,SRR5275904	SRR5275919_386463,SRR5275900_236969,SRR5275902_310464,SRR5275908_441221,SRR5275906_395877,SRR5275907_90620,SRR5275906_504412,SRR5275908_159362,SRR5275919_546380,SRR5275902_383503,SRR5275904_95418,SRR5275900_104797,SRR5275907_589699
2647	Cluster_13220	Unassigned_SRR5275904_392833	7	12	SRR5275904,SRR5275903,SRR5275908,SRR5275907,SRR5275927,SRR5275906,SRR5275919	SRR5275904_392833,SRR5275903_403912,SRR5275903_387972,SRR5275908_413408,SRR5275907_29954,SRR5275927_132095,SRR5275906_363713,SRR5275919_427298,SRR5275919_177001,SRR5275907_249317,SRR5275906_309783,SRR5275908_543241
2648	Cluster_13227	Unassigned_SRR5275908_158129	10	10	SRR5275908,SRR5275919,SRR5275904,SRR5275906,SRR5275900,SRR5275903,SRR5275897,SRR5275925,SRR5275907,SRR5275902	SRR5275908_158129,SRR5275919_108805,SRR5275904_213481,SRR5275906_422540,SRR5275900_487734,SRR5275903_102672,SRR5275897_416837,SRR5275925_678110,SRR5275907_457492,SRR5275902_390090
2649	Cluster_13228	Unassigned_SRR5275908_16795	6	10	SRR5275908,SRR5275906,SRR5275903,SRR5275919,SRR5275907,SRR5275904	SRR5275908_16795,SRR5275906_455473,SRR5275903_280789,SRR5275919_562184,SRR5275908_425086,SRR5275906_82641,SRR5275903_518620,SRR5275907_34826,SRR5275904_487598,SRR5275919_421556
2650	Cluster_13230	Unassigned_SRR5275900_12648	7	12	SRR5275900,SRR5275907,SRR5275897,SRR5275902,SRR5275925,SRR5275919,SRR5275906	SRR5275900_12648,SRR5275907_98887,SRR5275897_404198,SRR5275902_526326,SRR5275902_416575,SRR5275897_138186,SRR5275925_192286,SRR5275919_333467,SRR5275925_715256,SRR5275906_25807,SRR5275906_47788,SRR5275919_403089
2651	Cluster_13241	Unassigned_SRR5275919_392518	8	14	SRR5275919,SRR5275897,SRR5275906,SRR5275907,SRR5275903,SRR5275908,SRR5275904,SRR5275925	SRR5275919_392518,SRR5275897_143484,SRR5275906_611607,SRR5275907_215777,SRR5275903_284561,SRR5275908_62665,SRR5275904_41549,SRR5275925_286500,SRR5275903_380463,SRR5275919_5840,SRR5275906_37670,SRR5275908_62651,SRR5275904_59346,SRR5275925_504236
2652	Cluster_13242	Unassigned_SRR5275903_42135	10	11	SRR5275903,SRR5275927,SRR5275919,SRR5275925,SRR5275904,SRR5275907,SRR5275908,SRR5275902,SRR5275900,SRR5275906	SRR5275903_42135,SRR5275927_479678,SRR5275919_70229,SRR5275925_132748,SRR5275904_33191,SRR5275907_24288,SRR5275908_525407,SRR5275902_400842,SRR5275927_558739,SRR5275900_44186,SRR5275906_457836
2653	Cluster_13247	Unassigned_SRR5275925_24758	8	11	SRR5275925,SRR5275900,SRR5275927,SRR5275908,SRR5275904,SRR5275903,SRR5275906,SRR5275907	SRR5275925_24758,SRR5275900_634072,SRR5275927_464594,SRR5275900_524808,SRR5275908_465896,SRR5275925_121804,SRR5275927_584521,SRR5275904_7678,SRR5275903_178141,SRR5275906_119486,SRR5275907_518043
2654	Cluster_13263	Unassigned_SRR5275897_237396	8	14	SRR5275897,SRR5275902,SRR5275919,SRR5275900,SRR5275906,SRR5275903,SRR5275908,SRR5275907	SRR5275897_237396,SRR5275902_578725,SRR5275919_221998,SRR5275900_88576,SRR5275906_369173,SRR5275902_443245,SRR5275897_386444,SRR5275903_131065,SRR5275900_357846,SRR5275906_33402,SRR5275903_390599,SRR5275919_250154,SRR5275908_287357,SRR5275907_204101
2655	Cluster_13269	Unassigned_SRR5275906_522141	11	13	SRR5275906,SRR5275903,SRR5275907,SRR5275927,SRR5275900,SRR5275897,SRR5275902,SRR5275925,SRR5275919,SRR5275908,SRR5275904	SRR5275906_522141,SRR5275903_402807,SRR5275907_40269,SRR5275927_73807,SRR5275900_561069,SRR5275897_182552,SRR5275902_125939,SRR5275925_283688,SRR5275919_584665,SRR5275908_500260,SRR5275904_480040,SRR5275904_424884,SRR5275908_266013
2656	Cluster_13271	Unassigned_SRR5275904_271969	9	14	SRR5275904,SRR5275900,SRR5275903,SRR5275902,SRR5275907,SRR5275908,SRR5275906,SRR5275925,SRR5275919	SRR5275904_271969,SRR5275900_575672,SRR5275903_365653,SRR5275902_534744,SRR5275900_574799,SRR5275907_234878,SRR5275908_360212,SRR5275906_622155,SRR5275925_473403,SRR5275903_120765,SRR5275908_64753,SRR5275919_262968,SRR5275906_306889,SRR5275925_253462
2657	Cluster_13272	Unassigned_SRR5275908_422026	7	14	SRR5275908,SRR5275903,SRR5275904,SRR5275907,SRR5275906,SRR5275919,SRR5275925	SRR5275908_422026,SRR5275903_7572,SRR5275904_201336,SRR5275903_250146,SRR5275904_159171,SRR5275907_24048,SRR5275906_585641,SRR5275919_17919,SRR5275919_490518,SRR5275907_3621,SRR5275908_61366,SRR5275925_2629,SRR5275906_49458,SRR5275925_428984
2658	Cluster_13292	Unassigned_SRR5275907_412243	7	10	SRR5275907,SRR5275919,SRR5275904,SRR5275925,SRR5275906,SRR5275897,SRR5275902	SRR5275907_412243,SRR5275919_133329,SRR5275919_280958,SRR5275904_14464,SRR5275925_502505,SRR5275906_483609,SRR5275907_126015,SRR5275897_460433,SRR5275902_472996,SRR5275925_484978
2659	Cluster_13297	Unassigned_SRR5275900_357630	9	11	SRR5275900,SRR5275908,SRR5275897,SRR5275907,SRR5275902,SRR5275925,SRR5275906,SRR5275927,SRR5275903	SRR5275900_357630,SRR5275908_225898,SRR5275897_100691,SRR5275907_301375,SRR5275902_340129,SRR5275925_565656,SRR5275925_196065,SRR5275906_244309,SRR5275927_484956,SRR5275906_331429,SRR5275903_362013
2660	Cluster_13303	Unassigned_SRR5275902_69147	9	16	SRR5275902,SRR5275906,SRR5275897,SRR5275903,SRR5275919,SRR5275907,SRR5275908,SRR5275925,SRR5275900	SRR5275902_69147,SRR5275906_453117,SRR5275897_272428,SRR5275903_164787,SRR5275919_397047,SRR5275907_414660,SRR5275908_156212,SRR5275908_93340,SRR5275925_232379,SRR5275906_540983,SRR5275900_493370,SRR5275902_123606,SRR5275919_450067,SRR5275900_398792,SRR5275907_522537,SRR5275897_87994
2661	Cluster_13322	Unassigned_SRR5275925_245419	8	10	SRR5275925,SRR5275927,SRR5275919,SRR5275897,SRR5275903,SRR5275904,SRR5275906,SRR5275907	SRR5275925_245419,SRR5275927_687854,SRR5275919_592172,SRR5275897_97517,SRR5275903_137498,SRR5275897_107000,SRR5275903_248151,SRR5275904_137089,SRR5275906_534343,SRR5275907_474105
2662	Cluster_13325	Unassigned_SRR5275903_155897	9	12	SRR5275903,SRR5275904,SRR5275908,SRR5275902,SRR5275927,SRR5275906,SRR5275897,SRR5275919,SRR5275900	SRR5275903_155897,SRR5275904_493531,SRR5275908_182439,SRR5275902_251439,SRR5275927_587851,SRR5275906_41717,SRR5275904_198766,SRR5275897_3022,SRR5275902_557805,SRR5275908_317381,SRR5275919_6289,SRR5275900_445370
2663	Cluster_13329	Unassigned_SRR5275907_361856	7	12	SRR5275907,SRR5275902,SRR5275908,SRR5275906,SRR5275900,SRR5275904,SRR5275919	SRR5275907_361856,SRR5275902_538546,SRR5275908_148882,SRR5275907_498740,SRR5275906_96341,SRR5275906_573494,SRR5275900_487647,SRR5275904_100470,SRR5275900_456925,SRR5275908_394065,SRR5275919_183248,SRR5275919_334264
2664	Cluster_13330	Unassigned_SRR5275903_168584	5	10	SRR5275903,SRR5275897,SRR5275919,SRR5275904,SRR5275906	SRR5275903_168584,SRR5275903_227720,SRR5275897_406042,SRR5275919_395880,SRR5275904_281807,SRR5275897_75029,SRR5275904_535124,SRR5275906_189251,SRR5275906_2614,SRR5275919_379987
2665	Cluster_13334	Unassigned_SRR5275908_207793	9	10	SRR5275908,SRR5275906,SRR5275919,SRR5275900,SRR5275904,SRR5275907,SRR5275902,SRR5275925,SRR5275927	SRR5275908_207793,SRR5275906_459439,SRR5275919_293671,SRR5275900_370905,SRR5275904_415073,SRR5275907_193991,SRR5275902_194093,SRR5275925_256591,SRR5275925_247966,SRR5275927_597709
2666	Cluster_13337	Unassigned_SRR5275897_380504	7	10	SRR5275897,SRR5275927,SRR5275908,SRR5275919,SRR5275907,SRR5275906,SRR5275902	SRR5275897_380504,SRR5275927_357995,SRR5275908_207604,SRR5275919_211179,SRR5275907_341056,SRR5275919_145380,SRR5275906_479131,SRR5275907_233242,SRR5275927_76734,SRR5275902_520264
2667	Cluster_13338	Unassigned_SRR5275908_336646	6	10	SRR5275908,SRR5275903,SRR5275919,SRR5275907,SRR5275902,SRR5275904	SRR5275908_336646,SRR5275903_442984,SRR5275919_128518,SRR5275907_35159,SRR5275903_210728,SRR5275908_46435,SRR5275902_363607,SRR5275907_26649,SRR5275902_227194,SRR5275904_192006
2668	Cluster_13345	Unassigned_SRR5275906_372033	9	13	SRR5275906,SRR5275919,SRR5275897,SRR5275902,SRR5275908,SRR5275925,SRR5275900,SRR5275907,SRR5275904	SRR5275906_372033,SRR5275919_578969,SRR5275897_179573,SRR5275919_403065,SRR5275902_197553,SRR5275902_486655,SRR5275908_432816,SRR5275908_179992,SRR5275925_120917,SRR5275900_353920,SRR5275907_188517,SRR5275900_477259,SRR5275904_518860
2669	Cluster_13347	Unassigned_SRR5275908_303481	8	11	SRR5275908,SRR5275906,SRR5275904,SRR5275902,SRR5275925,SRR5275907,SRR5275900,SRR5275897	SRR5275908_303481,SRR5275906_523319,SRR5275904_176926,SRR5275902_497880,SRR5275925_534709,SRR5275907_238552,SRR5275907_505670,SRR5275925_191049,SRR5275900_365873,SRR5275906_147809,SRR5275897_439144
2670	Cluster_13356	Unassigned_SRR5275906_99447	10	17	SRR5275906,SRR5275908,SRR5275927,SRR5275902,SRR5275904,SRR5275925,SRR5275900,SRR5275903,SRR5275907,SRR5275897	SRR5275906_99447,SRR5275908_518544,SRR5275927_203762,SRR5275902_496758,SRR5275904_60743,SRR5275925_399164,SRR5275902_382767,SRR5275900_10663,SRR5275903_198501,SRR5275907_18725,SRR5275897_66546,SRR5275925_749607,SRR5275897_87785,SRR5275900_7449,SRR5275907_229537,SRR5275903_61533,SRR5275908_452041
2671	Cluster_13357	Unassigned_SRR5275907_402056	9	16	SRR5275907,SRR5275897,SRR5275903,SRR5275927,SRR5275904,SRR5275906,SRR5275902,SRR5275919,SRR5275900	SRR5275907_402056,SRR5275897_155089,SRR5275903_430012,SRR5275907_409024,SRR5275927_628762,SRR5275904_30141,SRR5275906_254795,SRR5275903_497321,SRR5275906_342325,SRR5275904_199634,SRR5275902_178242,SRR5275902_469653,SRR5275919_615986,SRR5275900_429058,SRR5275897_191741,SRR5275900_54020
2672	Cluster_13361	Unassigned_SRR5275906_397205	7	11	SRR5275906,SRR5275907,SRR5275903,SRR5275908,SRR5275904,SRR5275897,SRR5275925	SRR5275906_397205,SRR5275907_436607,SRR5275903_147851,SRR5275908_343671,SRR5275903_341044,SRR5275904_2422,SRR5275897_400668,SRR5275897_207431,SRR5275908_433468,SRR5275907_120576,SRR5275925_491473
2673	Cluster_13364	Unassigned_SRR5275900_297400	7	11	SRR5275900,SRR5275908,SRR5275902,SRR5275906,SRR5275919,SRR5275907,SRR5275904	SRR5275900_297400,SRR5275908_332527,SRR5275902_60590,SRR5275906_212819,SRR5275900_325442,SRR5275919_272505,SRR5275908_543690,SRR5275907_602983,SRR5275902_579133,SRR5275906_399183,SRR5275904_113285
2674	Cluster_13375	Unassigned_SRR5275907_354933	6	12	SRR5275907,SRR5275908,SRR5275906,SRR5275925,SRR5275904,SRR5275919	SRR5275907_354933,SRR5275908_184074,SRR5275906_614610,SRR5275925_311599,SRR5275907_403727,SRR5275908_476245,SRR5275904_539579,SRR5275906_343639,SRR5275925_179442,SRR5275919_115647,SRR5275904_513713,SRR5275919_288297
2675	Cluster_13377	Unassigned_SRR5275908_174203	10	10	SRR5275908,SRR5275902,SRR5275897,SRR5275906,SRR5275927,SRR5275919,SRR5275904,SRR5275907,SRR5275925,SRR5275900	SRR5275908_174203,SRR5275902_342251,SRR5275897_118308,SRR5275906_66408,SRR5275927_203775,SRR5275919_244931,SRR5275904_426772,SRR5275907_411754,SRR5275925_668902,SRR5275900_28682
2676	Cluster_13382	Unassigned_SRR11601863_245937	11	22	SRR11601863,SRR5275908,SRR5275906,SRR5275903,SRR5275925,SRR5275907,SRR5275904,SRR5275919,SRR5275897,SRR11602038,SRR11601791	SRR11601863_245937,SRR5275908_437869,SRR5275906_339601,SRR5275903_167869,SRR5275925_310981,SRR5275903_165842,SRR5275907_70554,SRR5275907_561149,SRR5275904_355473,SRR5275906_301498,SRR5275903_17252,SRR5275904_260070,SRR5275908_241023,SRR5275919_313339,SRR5275908_223468,SRR5275906_150488,SRR5275897_130480,SRR11602038_452920,SRR5275907_552790,SRR11601863_203217,SRR11601791_150199,SRR11602038_610865
2677	Cluster_13385	Unassigned_SRR5275925_578568	11	11	SRR5275925,SRR5275907,SRR5275927,SRR5275903,SRR5275908,SRR5275904,SRR5275900,SRR5275902,SRR5275906,SRR5275897,SRR5275919	SRR5275925_578568,SRR5275907_73588,SRR5275927_393449,SRR5275903_142009,SRR5275908_373622,SRR5275904_9308,SRR5275900_470775,SRR5275902_307960,SRR5275906_253401,SRR5275897_225529,SRR5275919_553764
2678	Cluster_13390	Unassigned_SRR5275904_426742	7	11	SRR5275904,SRR5275906,SRR5275919,SRR5275908,SRR5275925,SRR5275907,SRR5275903	SRR5275904_426742,SRR5275906_159130,SRR5275906_470888,SRR5275919_506525,SRR5275919_332536,SRR5275908_491493,SRR5275925_179896,SRR5275907_405585,SRR5275907_520986,SRR5275908_466933,SRR5275903_272536
2679	Cluster_13392	Unassigned_SRR5275906_563806	6	11	SRR5275906,SRR5275904,SRR5275908,SRR5275919,SRR5275903,SRR5275907	SRR5275906_563806,SRR5275904_40439,SRR5275904_384976,SRR5275908_326728,SRR5275919_488721,SRR5275903_469368,SRR5275908_23819,SRR5275906_363142,SRR5275907_520486,SRR5275903_30952,SRR5275907_71812
2680	Cluster_13394	Unassigned_SRR5275903_71315	6	10	SRR5275903,SRR5275908,SRR5275906,SRR5275919,SRR5275904,SRR5275907	SRR5275903_71315,SRR5275908_524137,SRR5275906_302948,SRR5275903_431590,SRR5275919_229879,SRR5275904_85513,SRR5275907_463937,SRR5275907_568377,SRR5275904_97996,SRR5275919_573069
2681	Cluster_13409	Unassigned_SRR5275907_45884	6	15	SRR5275907,SRR5275908,SRR5275902,SRR5275919,SRR5275904,SRR5275903	SRR5275907_45884,SRR5275908_122959,SRR5275902_526776,SRR5275919_311315,SRR5275904_493845,SRR5275907_535161,SRR5275903_108275,SRR5275907_67979,SRR5275902_290742,SRR5275904_143616,SRR5275904_448748,SRR5275919_190928,SRR5275908_294754,SRR5275908_487129,SRR5275903_336577
2682	Cluster_13410	Unassigned_SRR5275897_226756	8	11	SRR5275897,SRR5275925,SRR5275906,SRR5275904,SRR5275902,SRR5275900,SRR5275908,SRR5275907	SRR5275897_226756,SRR5275925_249554,SRR5275906_90509,SRR5275904_81384,SRR5275897_210223,SRR5275902_491452,SRR5275900_142080,SRR5275908_146205,SRR5275907_200431,SRR5275900_236367,SRR5275902_498697
2683	Cluster_13414	Unassigned_SRR5275927_421558	8	13	SRR5275927,SRR5275900,SRR5275904,SRR5275897,SRR5275906,SRR5275908,SRR5275902,SRR5275903	SRR5275927_421558,SRR5275900_158928,SRR5275904_158847,SRR5275897_88710,SRR5275906_5920,SRR5275908_176156,SRR5275902_429427,SRR5275900_495518,SRR5275897_27214,SRR5275904_326884,SRR5275906_250175,SRR5275908_225576,SRR5275903_81909
2684	Cluster_13418	Unassigned_SRR5275908_276392	8	10	SRR5275908,SRR5275927,SRR5275907,SRR5275904,SRR5275900,SRR5275906,SRR5275897,SRR5275903	SRR5275908_276392,SRR5275927_201646,SRR5275907_111906,SRR5275904_45956,SRR5275900_219001,SRR5275906_203220,SRR5275906_434189,SRR5275897_405720,SRR5275907_505302,SRR5275903_5015
2685	Cluster_13422	Unassigned_SRR5275908_181868	8	14	SRR5275908,SRR5275903,SRR5275904,SRR5275906,SRR5275919,SRR5275900,SRR5275907,SRR5275902	SRR5275908_181868,SRR5275903_426138,SRR5275904_144670,SRR5275906_522216,SRR5275906_112624,SRR5275919_240344,SRR5275900_204844,SRR5275907_395211,SRR5275919_451515,SRR5275902_423091,SRR5275904_257582,SRR5275900_264957,SRR5275907_242092,SRR5275903_145239
2686	Cluster_13425	Unassigned_SRR5275902_188229	7	10	SRR5275902,SRR5275925,SRR5275907,SRR5275919,SRR5275897,SRR5275908,SRR5275927	SRR5275902_188229,SRR5275925_345054,SRR5275907_191086,SRR5275919_317024,SRR5275897_96583,SRR5275925_79480,SRR5275908_488270,SRR5275927_56286,SRR5275927_631646,SRR5275925_649552
